StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,gender,age,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,look_after_health_1,checkup,smoker,environment_1,Q85_1,Q60_1,children,age_first_child_1,breastfeed_yesno,breastfeed_length_1,ideal_age_1,parents_dead,parent1_age_1,parent1_age_2,parent1_control_1,parent1_close_1,parent2_age_1,parent2_age_2,parent2_control_1,parent2_close_1,gp_dead,gp1_age_1,gp1_age_2,gp1_control_1,gp1_close_1,gp2_age_1,gp2_age_2,gp2_control_1,gp2_close_1,gp3_age_1,gp3_age_2,gp3_control_1,gp3_close_1,gp4_age_1,gp4_age_2,gp4_control_1,gp4_close_1,stress,subjective_SES_1,subjective_SES_2,subjective_SES_3,subjective_SES_4,subjective_SES_5,subjective_SES_6,subjective_SES_7,subjective_SES_8,subjective_SES_9,subjective_SES_10,income_1,household_1,attention_fruit,attention_smoker,attention_4_1,PROLIFIC_PID,prolific_id - Parent Topics,prolific_id - Topics
2020-12-30 19:22:00,2020-12-30 19:24:17,IP Address,86.133.77.218,100,137,True,2020-12-30 19:24:18,R_3kiA4484PoWaSPq,,,,,52.4553985595703125,-1.9564971923828125,anonymous,EN-GB,"Yes, I consent to participate.",5d5445e63808390015b8df52,Male,20,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,In 12 months,In 12 months,Today,,,,,100,Within the last 2 years,No,40,0,92,No,,,,32,Yes,,,,,,,,,"No, two are dead.",Grandmother 2,Don't know,69,0,Grandfather 2,88,25,44,,,,,,,,,Occasionally,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,"£75,000 - £99,999",3,Strongly agree,No,10,5d5445e63808390015b8df52,,
2020-12-30 19:19:15,2020-12-30 19:24:20,IP Address,79.65.92.153,100,304,True,2020-12-30 19:24:20,R_3Et0nmHdD6JfcKf,,,,,51.4203033447265625,-0.11749267578125,anonymous,EN-GB,"Yes, I consent to participate.",5eaacf553d810e0355ba954e,Female,27,Today,,,,,,,,,,,,,,,,Today,Today,,,,In 12 months,,Today,,,,,,,,86,Within the past year,No,71,71,100,No,,,,30,Yes,,,,,,,,,"No, two are dead.",Grandfather 1,77,90,25,Grandfather 2,>90,0,20,,,,,,,,,Frequently,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£60,000 - £74,999",3,Strongly agree,No,4,5eaacf553d810e0355ba954e,,
2020-12-30 19:19:05,2020-12-30 19:24:36,IP Address,51.198.115.161,100,331,True,2020-12-30 19:24:37,R_UXQ3ZO3RG0VkAwN,,,,,52.460601806640625,-1.923797607421875,anonymous,EN-GB,"Yes, I consent to participate.",5fc5502d392046054b097e79,Female,30,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,Today,,,,Today,,In 12 months,75,Within the past year,No,60,50,80,No,,,,34,Yes,,,,,,,,,"No, one is dead",Grandfather 1,50,70,80,,,,,,,,,,,,,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£16,000 - £19,999",2,Strongly agree,No,10,5fc5502d392046054b097e79,,
2020-12-30 19:20:29,2020-12-30 19:24:39,IP Address,151.226.75.148,100,250,True,2020-12-30 19:24:40,R_21HeLldgeRil5Tq,,,,,53.3972015380859375,-2.897003173828125,anonymous,EN-GB,"Yes, I consent to participate.",5e233c064548cd5f0e2a9e7f,Female,18,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,In 12 months,In 12 months,In 12 months,,,,,40,Within the last 10 years,No,70,10,100,No,,,,32,Yes,,,,,,,,,"No, one is dead",Grandfather 1,89,0,20,,,,,,,,,,,,,Frequently,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£40,000 - £49,999",5,Strongly agree,No,4,5e233c064548cd5f0e2a9e7f,,
2020-12-30 19:18:27,2020-12-30 19:24:58,IP Address,94.10.230.181,100,390,True,2020-12-30 19:24:59,R_3EgUoCb8xbQNdHC,,,,,55.8856964111328125,-4.1510009765625,anonymous,EN-GB,"Yes, I consent to participate.",5f8316dd537288454efcb2b5,Female,26,In 12 months,Today,,,,,,,,In 12 months,In 12 months,In 12 months,,,,,,,,,,,,,,,,,,,,40,Within the last 3 years,No,50,40,70,No,,,,28,Yes,,,,,,,,,"No, all four are dead.",Grandmother 1,54,21,0,Grandfather 1,68,50,0,Grandfather 2,70,70,10,Grandmother 2,82,0,50,Frequently,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£50,000 - £59,999",2,Strongly agree,No,4,5f8316dd537288454efcb2b5,,
2020-12-30 19:18:52,2020-12-30 19:25:07,IP Address,2.100.251.68,100,374,True,2020-12-30 19:25:07,R_3h6kx8DvemSXrcU,,,,,54.899993896484375,-1.516693115234375,anonymous,EN-GB,"Yes, I consent to participate.",5f675b1e4a829634c74adf94,Female,39,In 12 months,In 12 months,Today,,,,Today,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,80,Within the past year,No,88,60,99,No,,,,40,Yes,,,,,,,,,"No, all four are dead.",Grandfather 2,62,72,0,Grandmother 2,75,60,80,Grandfather 1,>90,0,95,Grandmother 1,>90,0,95,Very rarely,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£20,000 - £29,999",2,Strongly agree,No,4,5f675b1e4a829634c74adf94,,
2020-12-30 19:19:06,2020-12-30 19:25:30,IP Address,92.17.63.189,100,384,True,2020-12-30 19:25:30,R_3J3MExsgZPR3dnr,,,,,52.0435028076171875,1.1842041015625,anonymous,EN-GB,"Yes, I consent to participate.",5f196a4dbe9fbf0258284466,Male,21,Today,,,,,,,,,,,,,,,,Today,In 12 months,In 12 months,,In 12 months,,,,,,,,,,,78,Within the last 10 years,No,51,37,83,No,,,,30,Yes,,,,,,,,,"No, three are dead.",Grandfather 1,70,91,0,Grandmother 1,73,94,0,Grandfather 2,72,8,89,,,,,Occasionally,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,"£75,000 - £99,999",4,Strongly agree,No,10,5f196a4dbe9fbf0258284466,,
2020-12-30 19:21:21,2020-12-30 19:25:39,IP Address,2.121.101.218,100,257,True,2020-12-30 19:25:40,R_0B7xKhbrVRx6GQN,,,,,50.83099365234375,-0.273406982421875,anonymous,EN-GB,"Yes, I consent to participate.",5d77fbc0143261001bb4a0e1,Female,25,In 12 months,In 12 months,In 12 months,In 12 months,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Within the past year,No,53,59,100,No,,,,28,Yes,,,,,,,,,"Yes, they are all alive.",,,,,,,,,,,,,,,,,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£20,000 - £29,999",2,Strongly agree,No,4,5d77fbc0143261001bb4a0e1,,
2020-12-30 19:18:41,2020-12-30 19:25:49,IP Address,92.22.28.172,100,427,True,2020-12-30 19:25:49,R_3POcuCB4tjzy9MB,,,,,55.8119049072265625,-4.257293701171875,anonymous,EN-GB,"Yes, I consent to participate.",5f70fb1e3b94db7239601f14,Female,40,Today,,,,,,,,,,,,,,,,Today,In 12 months,In 12 months,,In 12 months,,,,,,,,,,,91,Within the past year,No,80,100,82,No,,,,45,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,40,8,0,Grandfather 2,40,0,0,Grandmother 2,60,19,0,Grandmother 1,75,0,72,Frequently,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£16,000 - £19,999",1,Strongly agree,No,4,5f70fb1e3b94db7239601f14,,
2020-12-30 19:20:19,2020-12-30 19:25:51,IP Address,86.172.248.48,100,332,True,2020-12-30 19:25:52,R_YWRGbJuJAeGuhbj,,,,,52.1345977783203125,-0.4662933349609375,anonymous,EN-GB,"Yes, I consent to participate.",5fea61ef8929f0a87b6daef9,Female,23,Today,,,,,,,,,,,,,,,,Today,In 12 months,Today,Today,,,,,,,,,,,,87,Within the past year,No,60,30,75,No,,,,26,Yes,,,,,,,,,"No, one is dead",Grandfather 1,40,50,0,,,,,,,,,,,,,Occasionally,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£75,000 - £99,999",2,Strongly agree,No,4,5fea61ef8929f0a87b6daef9,,
2020-12-30 19:11:51,2020-12-30 19:25:54,IP Address,217.42.115.169,100,842,True,2020-12-30 19:25:54,R_1IA9wOqyYuq12rY,,,,,51.4308013916015625,-0.782806396484375,anonymous,EN-GB,"Yes, I consent to participate.",572bac993437df0008444fba,Female,40,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,67,Within the last 2 years,No,50,50,80,Yes,27,No,,,No: one is dead,Father,73,78,83,,,,,"No, all four are dead.",Grandfather 1,70,61,61,Grandfather 2,75,60,66,Grandmother 1,80,29,82,Grandmother 2,>90,12,86,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£50,000 - £59,999",4,Somewhat agree,No,4,572bac993437df0008444fba,,
2020-12-30 19:14:27,2020-12-30 19:26:13,IP Address,151.228.152.177,100,705,True,2020-12-30 19:26:13,R_2S1BechMFH2C5xE,,,,,50.9582977294921875,-0.1342010498046875,anonymous,EN-GB,"Yes, I consent to participate.",5eb94afe7fbf4b01cfdf5fef,Female,59,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,Today,,,,Today,,In 12 months,95,Within the last 3 years,No,60,70,95,Yes,41,Yes,6,,No: both are dead,Mother,65,0,10,Father,86,0,30,"No, all four are dead.",Grandmother 1,86,0,40,Grandmother 2,>90,0,60,Grandfather 1,89,0,30,Grandfather 2,70,10,0,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£20,000 - £29,999",2,Strongly agree,No,4,5eb94afe7fbf4b01cfdf5fef,,
2020-12-30 19:22:28,2020-12-30 19:26:19,IP Address,81.104.87.125,100,230,True,2020-12-30 19:26:19,R_2PcJpYHOsKpJs6N,,,,,53.400299072265625,-2.21539306640625,anonymous,EN-GB,"Yes, I consent to participate.",5bcdc47eb11f060001b87fc7,Male,35,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,75,Within the past year,No,50,50,80,Yes,34,,,,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,50,100,0,Grandfather 2,50,100,0,Grandmother 1,80,50,50,Grandmother 2,90,50,70,Rarely,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£40,000 - £49,999",3,Strongly agree,No,4,5bcdc47eb11f060001b87fc7,,
2020-12-30 19:22:01,2020-12-30 19:26:25,IP Address,86.2.205.57,100,263,True,2020-12-30 19:26:26,R_2usVgZD2yMqnlBK,,,,,52.463592529296875,-1.79119873046875,anonymous,EN-GB,"Yes, I consent to participate.",5c1403377130b80001f0f34a,Female,35,In 12 months,In 12 months,Today,,,,In 12 months,,Today,,,,,,,,,,,,,,,,,,,,,,,73,Within the last 2 years,No,58,28,72,Yes,22,Yes,2,,Yes,,,,,,,,,"No, all four are dead.",Grandmother 1,89,15,16,Grandmother 2,86,49,33,Grandfather 1,72,68,0,Grandfather 2,76,35,0,Frequently,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£50,000 - £59,999",4,Strongly agree,No,4,5c1403377130b80001f0f34a,,
2020-12-30 19:21:53,2020-12-30 19:26:29,IP Address,5.81.238.167,100,275,True,2020-12-30 19:26:29,R_2UgUt36RIsNZgMX,,,,,53.458099365234375,-1.497406005859375,anonymous,EN-GB,"Yes, I consent to participate.",5a21aabb2b98bc0001a67c65,Male,52,In 12 months,In 12 months,Today,,,,In 12 months,,Today,,,,,,,,,,,,,,,,,,,,,,,30,10 years ago or more,No,60,9,82,No,,,,34,No: one is dead,Father,41,20,0,,,,,"No, all four are dead.",Grandfather 1,Don't know,61,0,Grandfather 2,Don't know,60,0,Grandmother 1,Don't know,35,0,Grandmother 2,86,2,61,Very rarely,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,"£75,000 - £99,999",2,Strongly agree,No,4,5a21aabb2b98bc0001a67c65,,
2020-12-30 19:18:58,2020-12-30 19:26:34,IP Address,90.222.33.73,100,455,True,2020-12-30 19:26:34,R_12zLGh6MrdDAPen,,,,,52.5,-2.0832977294921875,anonymous,EN-GB,"Yes, I consent to participate.",5982202e4a66440001fa902b,Female,56,Today,,,,,,,,,,,,,,,,Today,In 12 months,In 12 months,,Today,,,,,,,,,,,47,Within the last 10 years,No,71,71,82,Yes,26,No,,,Yes,,,,,,,,,"No, all four are dead.",Grandmother 1,79,30,73,Grandfather 1,80,25,78,Grandmother 2,88,11,83,Grandfather 2,89,13,85,Frequently,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£16,000 - £19,999",3,Strongly agree,No,10,5982202e4a66440001fa902b,,
2020-12-30 19:22:17,2020-12-30 19:26:38,IP Address,94.6.210.90,100,261,True,2020-12-30 19:26:38,R_29nMTQUbnHnOS0v,,,,,52.61810302734375,-1.1804046630859375,anonymous,EN-GB,"Yes, I consent to participate.",5bccc1c50f10750001d7d693,Female,24,In 12 months,Today,,,,,,,,In 12 months,In 12 months,In 12 months,,,,,,,,,,,,,,,,,,,,92,Don't know,No,83,69,100,No,,,,26,Yes,,,,,,,,,"No, two are dead.",Grandmother 1,75,9,60,Grandfather 1,70,81,58,,,,,,,,,Occasionally,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£75,000 - £99,999",3,Strongly agree,No,10,5bccc1c50f10750001d7d693,,
2020-12-30 19:22:09,2020-12-30 19:26:42,IP Address,2.25.233.57,100,273,True,2020-12-30 19:26:42,R_2XbKv7f2s7qG4q4,,,,,53.5012054443359375,-2.41119384765625,anonymous,EN-GB,"Yes, I consent to participate.",5fd683e45ecea93a7d0b73ed,Female,27,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,90,Don't know,No,70,70,90,Yes,20,No,,,Yes,,,,,,,,,"No, one is dead",Grandmother 1,Don't know,0,80,,,,,,,,,,,,,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£10,000 - £15,999",2,Somewhat disagree,No,4,5fd683e45ecea93a7d0b73ed,,
2020-12-30 19:19:21,2020-12-30 19:26:44,IP Address,94.5.81.207,100,442,True,2020-12-30 19:26:44,R_sFGeIRVyzCyKoCJ,,,,,57.6533050537109375,-3.3218994140625,anonymous,EN-GB,"Yes, I consent to participate.",5f9db237517e0d31930026b8,Female,27,Today,,,,,,,,,,,,,,,,Today,Today,,,,In 12 months,,Today,,,,,,,,55,Don't know,No,50,66,80,No,,,,18,No: one is dead,Father,60,0,100,,,,,"No, all four are dead.",Grandfather 1,30,0,1,Grandmother 1,85,0,37,Grandmother 2,83,0,48,Grandfather 2,85,0,63,Rarely,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,"£20,000 - £29,999",2,Strongly agree,No,10,5f9db237517e0d31930026b8,,
2020-12-30 19:21:21,2020-12-30 19:26:45,IP Address,109.148.49.168,100,324,True,2020-12-30 19:26:46,R_3M4IzIeQfsZvb3c,,,,,54.4304962158203125,-1.5630950927734375,anonymous,EN-GB,"Yes, I consent to participate.",5f92a957cc33eb1da423d532,Female,40,In 12 months,Today,,,,,,,,Today,,,,Today,,In 12 months,,,,,,,,,,,,,,,,75,Within the past year,Yes,40,20,80,Yes,18,No,,,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,50,0,0,Grandfather 2,52,20,0,Grandmother 1,78,50,60,Grandmother 2,>90,40,75,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£30,000 - £39,999",2,Strongly agree,Yes,4,5f92a957cc33eb1da423d532,,
2020-12-30 19:19:34,2020-12-30 19:26:55,IP Address,78.149.87.88,100,441,True,2020-12-30 19:26:56,R_a5HvgRWyBSnylKp,,,,,52.7510986328125,0.39239501953125,anonymous,EN-GB,"Yes, I consent to participate.",5f4fc3e0db8a350cec727eee,Female,34,In 12 months,In 12 months,Today,,,,In 12 months,,Today,,,,,,,,,,,,,,,,,,,,,,,90,Within the past year,No,70,30,20,Yes,27,No,,,Yes,,,,,,,,,"No, all four are dead.",Grandmother 1,45,0,100,Grandmother 2,70,0,0,Grandfather 1,75,0,20,Grandfather 2,70,0,0,Rarely,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£50,000 - £59,999",4,Strongly agree,No,10,5f4fc3e0db8a350cec727eee,,
2020-12-30 19:21:26,2020-12-30 19:27:15,IP Address,80.1.113.61,100,348,True,2020-12-30 19:27:16,R_2xxGilGUyod6i3h,,,,,53.8258056640625,-1.5204925537109375,anonymous,EN-GB,"Yes, I consent to participate.",5eff425e122196491e024bc4,Male,32,In 12 months,In 12 months,Today,,,,Today,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,40,10 years ago or more,No,75,80,30,No,,,,30,Yes,,,,,,,,,"No, three are dead.",Grandfather 1,60,30,0,Grandmother 1,75,80,35,Grandfather 2,70,60,5,,,,,Frequently,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£20,000 - £29,999",2,Strongly agree,No,4,5eff425e122196491e024bc4,,
2020-12-30 19:16:02,2020-12-30 19:27:16,IP Address,82.47.154.96,100,674,True,2020-12-30 19:27:16,R_3LcIRkzhvDrMVfc,,,,,53.75,-2.7295074462890625,anonymous,EN-GB,"Yes, I consent to participate.",5c726e7a70a49b0001f781e7,Female,33,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,In 12 months,In 12 months,Today,,,,,60,Within the past year,No,30,10,70,No,,,,30,No: one is dead,Father,56,100,40,,,,,"No, all four are dead.",Grandfather 1,50,0,0,Grandfather 2,78,0,20,Grandmother 1,74,30,70,Grandmother 2,84,0,100,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£30,000 - £39,999",1,Strongly agree,No,4,5c726e7a70a49b0001f781e7,,
2020-12-30 19:19:51,2020-12-30 19:27:18,IP Address,90.201.86.233,100,446,True,2020-12-30 19:27:18,R_1hMTOMtTFxckbzv,,,,,51.1923980712890625,0.275299072265625,anonymous,EN-GB,"Yes, I consent to participate.",5f74dd57565f72111cfeb8ba,Female,39,Today,,,,,,,,,,,,,,,,Today,In 12 months,In 12 months,,In 12 months,,,,,,,,,,,71,Within the past year,No,77,48,93,Yes,32,Yes,0,,No: one is dead,Father,36,79,100,,,,,"No, all four are dead.",Grandmother 1,56,9,0,Grandfather 1,67,6,0,Grandfather 2,86,26,0,Grandmother 2,>90,0,94,Frequently,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£40,000 - £49,999",4,Strongly agree,No,4,5f74dd57565f72111cfeb8ba,,
2020-12-30 19:21:58,2020-12-30 19:27:25,IP Address,2.25.231.110,100,326,True,2020-12-30 19:27:25,R_3FXlUiCI8PD1MzH,,,,,51.7803955078125,-1.4542999267578125,anonymous,EN-GB,"Yes, I consent to participate.",5d62dfb2459f070001e8cb14,Female,44,Today,,,,,,,,,,,,,,,,Today,Today,,,,In 12 months,,In 12 months,,,,,,,,71,Within the last 2 years,No,40,18,81,No,,,,35,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,58,71,0,Grandmother 1,72,9,29,Grandmother 2,72,10,8,Grandfather 2,76,59,29,Very frequently,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£40,000 - £49,999",1,Strongly agree,No,4,5d62dfb2459f070001e8cb14,,
2020-12-30 19:24:32,2020-12-30 19:27:29,IP Address,95.145.213.1,100,176,True,2020-12-30 19:27:29,R_2uqEl8McXDKzbW9,,,,,54.600006103515625,-1.5500030517578125,anonymous,EN-GB,"Yes, I consent to participate.",596f9bd71a0f2200019a9823,Female,33,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,96,Within the past year,No,40,20,100,Yes,26,No,,,Yes,,,,,,,,,"No, one is dead",Grandfather 1,76,0,0,,,,,,,,,,,,,Rarely,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£60,000 - £74,999",4,Strongly agree,No,10,596f9bd71a0f2200019a9823,,
2020-12-30 19:21:56,2020-12-30 19:27:31,IP Address,51.148.180.204,100,334,True,2020-12-30 19:27:31,R_bexQMYTtK8Gu5jj,,,,,51.54150390625,-0.0601043701171875,anonymous,EN-GB,"Yes, I consent to participate.",5ea8aec3844c4313d9ee62fa,Female,28,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,Today,,,,In 12 months,In 12 months,,77,Within the past year,No,57,75,70,No,,,,30,Yes,,,,,,,,,"No, two are dead.",Grandmother 1,<20,57,5,Grandfather 1,<20,74,8,,,,,,,,,Very rarely,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£50,000 - £59,999",2,Strongly agree,No,4,5ea8aec3844c4313d9ee62fa,,
2020-12-30 19:21:06,2020-12-30 19:27:33,IP Address,86.26.63.157,100,386,True,2020-12-30 19:27:33,R_3rSxUzAcZ9yYfVr,,,,,53.3932952880859375,-2.13360595703125,anonymous,EN-GB,"Yes, I consent to participate.",5efc862d9cbac6036730c847,Male,34,Today,,,,,,,,,,,,,,,,Today,In 12 months,In 12 months,,In 12 months,,,,,,,,,,,55,Within the past year,No,60,66,71,No,,,,36,Yes,,,,,,,,,"No, three are dead.",Grandmother 1,65,93,60,Grandfather 1,60,95,56,Grandfather 2,Rather not say,50,50,,,,,Occasionally,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£30,000 - £39,999",5,Strongly agree,No,4,5efc862d9cbac6036730c847,,
2020-12-30 19:20:11,2020-12-30 19:27:40,IP Address,31.14.249.129,100,449,True,2020-12-30 19:27:41,R_5as0uWASif1wjqF,,,,,51.441192626953125,-0.1833038330078125,anonymous,EN-GB,"Yes, I consent to participate.",5f5159109089363907f74a66,Male,36,In 12 months,In 12 months,In 12 months,In 12 months,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,66,Within the last 2 years,No,57,25,50,No,,,,22,Yes,,,,,,,,,"No, two are dead.",Grandfather 1,75,0,40,Grandmother 1,>90,0,56,,,,,,,,,Very rarely,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,"£100,000 - £149,999",7,Strongly agree,No,9,5f5159109089363907f74a66,,
2020-12-30 19:21:02,2020-12-30 19:27:44,IP Address,81.131.114.99,100,401,True,2020-12-30 19:27:45,R_1PYG4BVE1eYTiBi,,,,,51.43170166015625,-0.4575958251953125,anonymous,EN-GB,"Yes, I consent to participate.",5fea2673d92c4a1df0eeab10,Male,24,Today,,,,,,,,,,,,,,,,Today,In 12 months,Today,Today,,,,,,,,,,,,65,Within the last 3 years,No,80,80,85,No,,,,30,Yes,,,,,,,,,"No, two are dead.",Grandmother 2,60,10,2,Grandfather 2,88,60,45,,,,,,,,,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£75,000 - £99,999",3,Strongly agree,No,9,5fea2673d92c4a1df0eeab10,,
2020-12-30 19:21:11,2020-12-30 19:27:51,IP Address,81.105.53.15,100,399,True,2020-12-30 19:27:51,R_3LYzEX2bQEBKE89,,,,,52.95379638671875,-1.1571044921875,anonymous,EN-GB,"Yes, I consent to participate.",5f315b1191f3f9621e93ead1,Male,30,In 12 months,In 12 months,Today,,,,In 12 months,,In 12 months,,,,,,,,,,,,,,,,,,,,,,,84,Within the last 2 years,Yes,77,57,59,No,,,,30,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,25,0,0,Grandmother 2,>90,31,83,Grandfather 1,25,0,0,Grandfather 2,53,0,0,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£40,000 - £49,999",2,Strongly agree,Yes,4,5f315b1191f3f9621e93ead1,,
2020-12-30 19:21:48,2020-12-30 19:27:54,IP Address,213.31.26.46,100,366,True,2020-12-30 19:27:55,R_eKSua6YxtX8jU5j,,,,,50.19830322265625,-5.30279541015625,anonymous,EN-GB,"Yes, I consent to participate.",58bbf520464ae40001bec33c,Female,51,In 12 months,In 12 months,In 12 months,In 12 months,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,81,Within the last 10 years,No,92,66,91,Yes,35,Yes,17,,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,85,75,88,Grandmother 1,82,31,98,Grandmother 2,>90,2,71,Grandfather 2,>90,75,60,Very frequently,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£30,000 - £39,999",4,Strongly agree,No,4,58bbf520464ae40001bec33c,,
2020-12-30 19:23:01,2020-12-30 19:27:58,IP Address,86.14.165.19,100,297,True,2020-12-30 19:27:58,R_3CDTbRDSNEHDo3L,,,,,54.544097900390625,-6.26300048828125,anonymous,EN-GB,"Yes, I consent to participate.",5f2367bf70fcfd12cc289783,Female,33,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,Today,,,,Today,,In 12 months,76,Within the last 5 years,No,94,31,81,No,,,,34,No: one is dead,Father,38,0,100,,,,,"No, two are dead.",Grandmother 1,>90,0,0,Grandfather 1,>90,0,100,,,,,,,,,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£40,000 - £49,999",2,Strongly agree,No,10,5f2367bf70fcfd12cc289783,,
2020-12-30 19:23:49,2020-12-30 19:28:05,IP Address,86.8.40.95,100,256,True,2020-12-30 19:28:05,R_YRgKq9wgI82lEul,,,,,53.789398193359375,-2.57550048828125,anonymous,EN-GB,"Yes, I consent to participate.",56c62ac7305eaa000bf21015,Female,22,In 12 months,In 12 months,Today,,,,In 12 months,,Today,,,,,,,,,,,,,,,,,,,,,,,70,10 years ago or more,No,75,80,70,No,,,,30,Yes,,,,,,,,,"No, three are dead.",Grandfather 1,Rather not say,0,0,Grandmother 1,Rather not say,0,0,Grandmother 2,Rather not say,0,15,,,,,Rarely,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£10,000 - £15,999",3,Strongly agree,No,4,56c62ac7305eaa000bf21015,,
2020-12-30 19:21:52,2020-12-30 19:28:08,IP Address,176.26.92.251,100,375,True,2020-12-30 19:28:08,R_2SjJiU3PQPuzuYG,,,,,54.931304931640625,-1.5854949951171875,anonymous,EN-GB,"Yes, I consent to participate.",5fcbb826bbf1d397e66ed1e8,Female,21,Today,,,,,,,,,,,,,,,,Today,In 12 months,Today,Today,,,,,,,,,,,,83,Within the past year,No,68,31,81,No,,,,30,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,52,26,0,Grandfather 2,62,31,0,Grandmother 1,75,0,0,Grandmother 2,65,10,100,Very frequently,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,"£20,000 - £29,999",3,Somewhat agree,No,4,5fcbb826bbf1d397e66ed1e8,,
2020-12-30 19:24:59,2020-12-30 19:28:10,IP Address,90.217.217.252,100,191,True,2020-12-30 19:28:11,R_1FlelD9KOS4CoCW,,,,,54.7698974609375,-1.5590057373046875,anonymous,EN-GB,"Yes, I consent to participate.",5f58e8f22846f809fda94bda,Male,25,In 12 months,Today,,,,,,,,In 12 months,Today,,In 12 months,,,,,,,,,,,,,,,,,,,76,Within the last 2 years,No,81,80,82,No,,,,32,Yes,,,,,,,,,"No, three are dead.",Grandfather 1,65,50,0,Grandfather 1,78,24,61,Grandmother 1,80,61,85,,,,,Occasionally,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,"£20,000 - £29,999",3,Strongly agree,No,4,5f58e8f22846f809fda94bda,,
